Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Price
Suburb_29,4,u,SA,Agent_20,Western Victoria,13281,13.4,Council_9,5,2,2,630.2,,1934,701924
Suburb_9,3,h,VB,Agent_12,Northern Metro,937,9.1,Council_5,3,3,,407.8,,,576745
Suburb_29,1,h,SP,Agent_8,Northern Victoria,2169,14.2,Council_8,0,2,2,283,197.6,,441569
Suburb_13,2,u,SP,Agent_22,Western Victoria,3107,8.1,Council_14,3,2,2,516,,,524442
Suburb_33,5,h,VB,Agent_7,Northern Victoria,9968,36.5,Council_3,6,2,0,617.7,143.1,1912,470848
Suburb_24,4,h,SA,Agent_13,Northern Victoria,1987,7,Council_16,5,3,2,245.4,,1988,728650
Suburb_22,4,h,SP,Agent_20,Western Metro,12058,6.2,Council_5,4,2,3,427.2,,1906,698778
Suburb_8,1,u,S,Agent_24,Southern Metro,3341,6.7,Council_19,0,2,3,640.3,177.5,,
Suburb_19,1,u,PI,Agent_24,Northern Victoria,10308,7.4,Council_16,1,3,2,,213.5,2018,530439
Suburb_35,2,h,VB,Agent_3,Western Victoria,12036,4.9,Council_6,,1,3,2.7,234.5,1985,628971
Suburb_1,5,h,PI,Agent_23,Northern Metro,13239,9.3,Council_12,5,1,2,39,,1966,834077
Suburb_31,3,h,SA,Agent_3,Western Victoria,4746,9.3,Council_3,4,2,1,,252.8,,685878
Suburb_20,4,h,SA,Agent_15,Western Metro,1583,9.3,Council_3,3,1,1,,155.6,1905,741053
Suburb_29,3,h,VB,Agent_24,Northern Victoria,11477,3.6,Council_21,4,1,2,395.7,,2008,644576
Suburb_27,3,t,S,Agent_17,Southern Metro,7006,12.7,Council_17,2,1,3,999.5,175.7,1995,639744
Suburb_18,4,h,SA,Agent_24,Northern Victoria,14258,5.4,Council_4,3,3,0,,,,
Suburb_13,5,u,VB,Agent_9,Southern Metro,3227,5.8,Council_6,6,2,1,415.2,,1996,839288
Suburb_26,3,h,SP,Agent_8,Eastern Metro,8826,5.7,Council_5,2,3,2,,180.2,1900,459673
Suburb_6,3,h,PI,Agent_9,South-Eastern Metro,2227,1,Council_9,4,1,3,622.4,,1996,606816
Suburb_24,5,h,SA,Agent_9,Northern Metro,7538,8.5,Council_7,6,2,1,389.7,174.8,1954,838849
Suburb_4,2,h,SA,Agent_18,Western Metro,514,20.1,Council_7,1,2,2,,201.9,,556327
Suburb_26,5,u,PI,Agent_12,Northern Victoria,11376,5.5,Council_12,4,2,0,,,1949,793028
Suburb_26,3,t,S,Agent_19,Southern Metro,9270,5.5,Council_4,2,3,1,,,,757175
Suburb_4,5,u,VB,Agent_11,Eastern Metro,1907,17.6,Council_19,4,3,3,,250.7,2001,681538
Suburb_31,3,h,VB,Agent_8,Eastern Metro,7742,5,Council_16,4,2,,272.7,,2016,604619
Suburb_17,4,u,S,Agent_5,South-Eastern Metro,6709,16.3,Council_16,5,3,3,86.4,100.6,,809022
Suburb_32,2,h,SA,Agent_14,Western Victoria,10267,7.5,Council_4,3,1,0,530.9,,1933,447771
Suburb_2,4,t,SP,Agent_23,Eastern Victoria,7732,3.2,Council_15,5,1,1,78.3,129.8,,
Suburb_8,2,h,SA,Agent_22,Southern Metro,7155,11,Council_18,3,3,3,360.9,,1959,580842
Suburb_20,4,h,PI,Agent_7,Northern Metro,12550,6.5,Council_4,5,1,3,227.4,105.8,1924,748198
Suburb_8,4,h,SP,Agent_12,Northern Metro,8026,7,Council_16,5,1,3,822.2,,1986,
Suburb_14,3,h,S,Agent_18,Northern Victoria,12306,11.6,Council_8,3,1,1,347.5,181.8,,508300
Suburb_27,3,h,S,Agent_16,Southern Metro,13337,6.7,Council_17,4,1,3,,,1948,802516
Suburb_6,2,t,VB,Agent_2,Southern Metro,12799,4.2,Council_11,1,2,1,18.8,199.2,1983,537061
Suburb_28,4,u,SP,Agent_15,Eastern Victoria,14355,17.9,Council_17,4,1,3,539.5,,2010,842974
Suburb_5,3,t,SA,Agent_1,Eastern Victoria,10619,14.5,Council_4,4,2,3,139.1,127.4,1974,619951
Suburb_8,3,h,SP,Agent_3,Eastern Victoria,8645,7.9,Council_9,2,3,1,372.3,156.3,,
Suburb_24,1,h,SA,Agent_17,Eastern Metro,8193,5.4,Council_6,0,1,1,1163.4,175.6,1999,265457
Suburb_32,1,h,SA,Agent_3,Northern Victoria,3465,1.6,Council_6,0,3,,779.7,,1928,539360
Suburb_7,1,h,S,Agent_9,Northern Victoria,12504,1,Council_7,0,2,1,461.5,124.5,,387998
Suburb_12,5,h,VB,Agent_15,Southern Metro,10552,13,Council_9,5,2,1,1459.7,201.3,,870886
Suburb_38,5,h,SA,Agent_17,Northern Victoria,13162,3.2,Council_3,6,2,2,225.4,,,843643
Suburb_40,1,h,SP,Agent_12,Northern Victoria,10671,5.1,Council_15,0,1,3,849.6,,1924,413888
Suburb_24,1,h,S,Agent_3,Western Metro,7467,16.2,Council_12,2,1,0,,78.3,1964,318374
Suburb_18,4,h,SA,Agent_20,Eastern Victoria,4780,1.6,Council_18,5,2,3,426.8,,1981,806779
Suburb_14,3,u,PI,Agent_24,South-Eastern Metro,14792,9.6,Council_15,4,3,1,95.7,63.5,2009,686117
Suburb_25,2,h,S,Agent_23,Northern Victoria,11137,10.9,Council_4,3,2,0,,,,442511
Suburb_24,4,t,SA,Agent_19,South-Eastern Metro,13184,5.6,Council_2,3,2,,,,1996,732369
Suburb_12,2,h,VB,Agent_11,Eastern Victoria,8982,8.7,Council_9,2,2,1,407.7,133.8,1967,528508
Suburb_1,1,u,S,Agent_22,Northern Victoria,7901,5.5,Council_11,2,2,2,,164.5,,440430
Suburb_7,2,u,SP,Agent_13,Eastern Metro,997,17.1,Council_6,3,1,2,,,1912,305901
Suburb_39,5,u,S,Agent_4,Eastern Victoria,1504,11,Council_17,5,2,0,598.1,,,950824
Suburb_17,4,u,SA,Agent_22,South-Eastern Metro,10748,9.3,Council_13,,3,1,746.2,77.9,,612749
Suburb_20,1,u,S,Agent_9,Western Victoria,3755,15.7,Council_16,2,1,0,55,134.8,1948,170667
Suburb_19,3,h,VB,Agent_24,Southern Metro,1689,6.9,Council_3,2,3,1,275.5,,2008,876811
Suburb_32,5,h,PI,Agent_10,Western Metro,11757,7.6,Council_18,6,3,2,,,1986,977714
Suburb_3,5,h,PI,Agent_22,Western Victoria,9497,28.1,Council_5,4,1,3,689,133.7,2001,567599
Suburb_4,4,h,SA,Agent_14,Northern Victoria,2111,7.7,Council_10,4,2,0,926.4,183.1,,814096
Suburb_12,1,h,SA,Agent_12,Western Victoria,7748,9.4,Council_10,0,3,2,435.2,202.7,,541880
Suburb_20,2,h,S,Agent_8,Northern Metro,7312,7.1,Council_18,3,2,1,405.1,,1920,702913
Suburb_27,2,h,S,Agent_21,Northern Metro,553,3.7,Council_6,1,3,1,,,,739259
Suburb_20,1,h,S,Agent_2,Eastern Victoria,9270,7,Council_6,1,3,2,,,,428434
Suburb_18,1,h,VB,Agent_12,Eastern Metro,6251,6.5,Council_8,2,2,0,410.9,232.8,1980,383005
Suburb_38,2,h,PI,Agent_10,Northern Victoria,13236,6,Council_8,3,3,3,417.8,,,603286
Suburb_7,3,u,S,Agent_14,Western Metro,2178,7.2,Council_4,2,3,1,471.8,291.6,2014,
Suburb_23,2,u,SP,Agent_7,Western Metro,12783,15.2,Council_4,3,3,0,665.5,113.1,1954,507103
Suburb_22,3,h,PI,Agent_17,Western Victoria,593,5.5,Council_5,3,3,3,,,1922,603495
Suburb_19,2,h,VB,Agent_10,Northern Metro,11582,11.5,Council_10,3,1,3,268.4,,1921,569617
Suburb_33,1,h,SP,Agent_5,Eastern Victoria,11847,17.4,Council_8,1,1,2,,230.4,1983,477818
Suburb_11,5,h,SA,Agent_5,Western Victoria,6411,11.1,Council_9,4,1,,,,1989,771327
Suburb_39,3,u,SA,Agent_18,South-Eastern Metro,4568,7.3,Council_16,2,1,0,318.9,200.7,1924,456783
Suburb_14,2,h,VB,Agent_7,Western Metro,2562,3,Council_6,,3,1,154.6,235.6,1983,769847
Suburb_22,5,t,PI,Agent_8,Southern Metro,5429,3.3,Council_20,6,2,1,861,,,779206
Suburb_21,5,h,SA,Agent_16,South-Eastern Metro,10209,8.6,Council_16,6,2,3,367.7,140.2,,
Suburb_34,5,u,VB,Agent_9,Western Metro,11010,10.5,Council_4,5,1,1,331.8,21.5,2016,561248
Suburb_18,1,h,PI,Agent_10,Southern Metro,3128,4.1,Council_7,2,3,2,485.4,139.3,,359756
Suburb_12,4,h,PI,Agent_7,Eastern Metro,661,5.3,Council_4,3,2,1,,101,1948,
Suburb_1,5,u,SA,Agent_9,Western Victoria,8639,11.6,Council_6,6,3,2,379.2,136.9,,825808
Suburb_15,5,h,PI,Agent_18,Eastern Metro,8921,10.5,Council_8,4,1,0,529.1,325.4,1942,831939
Suburb_34,2,u,S,Agent_14,Southern Metro,14719,8.1,Council_3,1,1,2,373.4,253.1,,
Suburb_1,5,h,SA,Agent_25,South-Eastern Metro,11539,8.8,Council_1,6,1,0,371.2,,1954,750357
Suburb_36,3,h,S,Agent_20,Southern Metro,8479,3.8,Council_10,3,1,2,,,1940,757652
Suburb_22,3,h,VB,Agent_1,Western Victoria,9081,11.8,Council_15,2,3,0,153.9,,1924,593384
Suburb_6,3,u,VB,Agent_10,Eastern Victoria,9860,15.1,Council_7,4,2,3,518.2,,1944,572556
Suburb_13,4,h,PI,Agent_8,Western Victoria,7050,23,Council_19,3,2,3,,,,659873
Suburb_23,1,u,S,Agent_15,Western Victoria,10324,9.5,Council_8,2,1,2,71.6,,2006,351793
Suburb_13,3,u,PI,Agent_7,Southern Metro,3333,15.4,Council_19,2,1,,728,,1958,451204
Suburb_5,5,u,SA,Agent_25,Southern Metro,12540,3.1,Council_5,4,3,3,729.2,,1949,740738
Suburb_27,3,h,SP,Agent_8,Eastern Metro,12994,9.4,Council_12,2,3,0,,160.3,,768006
Suburb_27,2,u,VB,Agent_14,Western Metro,6807,8.1,Council_17,2,,2,,156,,744252
Suburb_5,1,t,SA,Agent_4,Western Victoria,7121,7.1,Council_2,0,3,1,691.1,,,243834
Suburb_12,3,h,SA,Agent_23,South-Eastern Metro,7713,13.4,Council_20,2,2,3,1155.5,,2004,653684
Suburb_10,4,h,PI,Agent_23,South-Eastern Metro,12351,11.2,Council_8,5,1,3,,144.6,1950,556065
Suburb_27,3,h,SP,Agent_20,Western Victoria,3051,2.7,Council_11,3,3,3,,203.2,1951,816873
Suburb_30,5,h,VB,Agent_9,South-Eastern Metro,5452,11.5,Council_14,5,3,1,39.8,145.4,,860227
Suburb_30,4,u,PI,Agent_2,Western Metro,9412,6.2,Council_14,3,2,0,,247.4,,720134
Suburb_38,3,h,VB,Agent_18,Western Metro,10554,8.9,Council_1,2,1,0,1030.6,108.3,,537917
Suburb_31,1,h,VB,Agent_11,Northern Victoria,4788,6.9,Council_19,0,,0,,161.6,,639423
Suburb_13,3,h,VB,Agent_25,Northern Metro,2199,3.7,Council_14,4,3,3,,,1920,690880
Suburb_5,1,h,SP,Agent_18,South-Eastern Metro,7860,4,Council_21,0,1,,,185.3,1943,333409
Suburb_25,4,h,VB,Agent_14,South-Eastern Metro,9759,3.4,Council_10,3,1,1,,103.1,,598711
Suburb_37,1,u,PI,Agent_25,South-Eastern Metro,11615,7.2,Council_13,2,3,1,,265.6,,518781
Suburb_40,5,h,SA,Agent_21,Northern Victoria,543,13.1,Council_10,5,1,0,,,1914,732458
Suburb_10,2,h,VB,Agent_12,Eastern Victoria,754,14.4,Council_19,,3,2,,252.9,1967,512501
Suburb_10,3,u,SA,Agent_1,Western Victoria,6104,7.9,Council_18,3,3,1,,155.4,1959,611481
Suburb_2,1,h,SA,Agent_3,Northern Victoria,8676,8,Council_20,2,1,3,636.3,183.1,2014,328738
Suburb_6,2,h,SA,Agent_12,Western Metro,551,6.1,Council_11,3,1,0,438.5,230.1,1990,422536
Suburb_23,5,h,VB,Agent_15,Northern Metro,3014,4.6,Council_17,5,2,3,,201.5,,1016723
Suburb_22,2,t,PI,Agent_1,Eastern Victoria,6574,5.5,Council_8,3,2,0,,,,358199
Suburb_15,3,u,S,Agent_4,Western Victoria,4551,8.3,Council_10,3,3,1,247.7,,1975,850804
Suburb_13,5,h,SP,Agent_18,South-Eastern Metro,10802,3.6,Council_16,6,2,1,531.5,262,,954978
Suburb_34,4,h,PI,Agent_19,Eastern Victoria,1003,5.3,Council_2,4,1,2,,,1933,
Suburb_19,1,h,VB,Agent_1,Eastern Victoria,13380,3,Council_15,,3,2,409.2,,1944,539562
Suburb_33,2,h,PI,Agent_13,Eastern Victoria,2957,8,Council_1,2,3,0,,173.1,,700827
Suburb_39,2,h,PI,Agent_3,Northern Victoria,6889,6.3,Council_13,2,2,1,,,1964,409118
Suburb_13,2,t,S,Agent_19,Northern Metro,14806,19.1,Council_11,2,3,2,334.7,96.4,1956,438544
Suburb_9,2,u,VB,Agent_21,Northern Metro,10108,3.1,Council_10,3,3,1,201.2,,1995,768083
Suburb_39,3,h,PI,Agent_22,Southern Metro,14978,7,Council_11,4,,0,0,32.7,1932,570154
Suburb_26,2,u,S,Agent_15,Western Metro,785,5.7,Council_11,3,3,0,543.4,125.1,1926,500076
Suburb_12,2,t,SP,Agent_16,South-Eastern Metro,10937,14.6,Council_9,3,2,2,410,134.2,2018,461584
Suburb_25,3,h,SA,Agent_24,Western Metro,1597,4.9,Council_10,2,1,1,,,1996,558022
Suburb_21,2,h,S,Agent_16,Northern Metro,9371,11.2,Council_12,3,2,2,518.8,194.9,1950,601548
Suburb_37,2,t,PI,Agent_12,Southern Metro,5226,3.6,Council_17,3,3,0,,136.9,2013,753528
Suburb_11,3,h,PI,Agent_19,Western Victoria,11766,11.3,Council_12,2,3,2,361.7,111.9,,671187
Suburb_40,5,u,S,Agent_15,Western Victoria,2303,7.2,Council_14,6,3,0,0,130.5,1981,962855
Suburb_38,3,h,S,Agent_22,Western Metro,13500,3.7,Council_18,3,2,2,704.8,,1904,668739
Suburb_8,3,h,SA,Agent_14,Eastern Victoria,7471,5.1,Council_21,2,2,3,130.1,,,736581
Suburb_7,5,u,PI,Agent_22,South-Eastern Metro,8029,11.2,Council_3,4,1,1,519,,,884689
Suburb_22,4,h,SP,Agent_2,Western Victoria,8781,7.9,Council_15,4,,0,257.5,157.5,,726194
Suburb_2,2,h,S,Agent_1,Western Victoria,1011,4.6,Council_5,1,1,0,,147,1997,509935
Suburb_12,2,h,PI,Agent_3,South-Eastern Metro,5000,6.4,Council_5,3,3,1,,81.6,1924,420724
Suburb_18,3,h,VB,Agent_14,Western Metro,10786,8.1,Council_17,4,3,0,659.5,132.7,1957,755656
Suburb_39,3,h,VB,Agent_18,South-Eastern Metro,14431,1.7,Council_2,4,1,3,839,,2010,611273
Suburb_40,1,h,S,Agent_6,Eastern Metro,14776,5.6,Council_18,1,2,3,599.1,184.3,,472781
Suburb_7,1,h,VB,Agent_4,Eastern Metro,8267,13.3,Council_17,1,2,3,,,1953,160900
Suburb_36,2,h,SA,Agent_22,Northern Victoria,4241,14.6,Council_21,3,1,3,0,190.6,,561093
Suburb_4,5,h,SP,Agent_19,Northern Victoria,7424,5.6,Council_15,6,2,2,404.7,,1934,747192
Suburb_30,4,u,S,Agent_17,Northern Victoria,7220,11.3,Council_19,3,,1,432.5,,,674597
Suburb_34,5,h,SA,Agent_13,Western Metro,6259,7.6,Council_3,5,3,1,867.1,,1940,699393
Suburb_36,1,h,PI,Agent_11,Western Metro,5738,12.2,Council_19,2,3,,348.1,,,679281
Suburb_9,3,h,VB,Agent_1,Northern Metro,13090,7.3,Council_4,4,1,3,,,2019,705084
Suburb_36,3,h,SP,Agent_5,Northern Victoria,6161,11.3,Council_7,4,2,1,,,1974,780407
Suburb_5,3,u,SP,Agent_23,Northern Victoria,924,6.1,Council_3,,3,1,,,,
Suburb_21,3,h,SP,Agent_9,Western Victoria,10960,2.8,Council_9,3,3,2,459.9,132.8,,774351
Suburb_19,2,h,SP,Agent_18,Northern Victoria,10143,7.9,Council_16,1,3,1,748.3,284.1,,587840
Suburb_13,1,t,PI,Agent_18,Western Metro,5986,6.2,Council_6,2,3,1,0,119.3,1969,455412
Suburb_1,5,u,S,Agent_8,Northern Metro,9634,7.3,Council_18,5,1,0,15.8,,2011,775695
Suburb_31,5,u,SA,Agent_6,Southern Metro,14145,11.8,Council_13,4,3,0,0,140,,863616
Suburb_14,1,u,PI,Agent_18,Eastern Metro,13904,22.9,Council_14,0,,,735.8,135.1,1990,264583
Suburb_27,3,t,SA,Agent_3,Western Metro,11950,17.2,Council_20,4,3,1,,101.5,2003,476088
Suburb_17,3,h,PI,Agent_13,Eastern Metro,8958,7.1,Council_10,4,3,3,769,306.1,,693155
Suburb_15,4,h,SP,Agent_23,Western Metro,900,4.6,Council_8,5,1,1,296.8,169.1,,677301
Suburb_36,5,h,PI,Agent_18,Eastern Victoria,7927,8.4,Council_21,6,1,2,,,,952173
Suburb_4,3,h,S,Agent_20,Southern Metro,12368,6.8,Council_12,,2,1,463.7,,,808227
Suburb_30,4,h,SA,Agent_3,Eastern Metro,12750,18.5,Council_13,5,2,1,933.1,,,483909
Suburb_30,5,h,VB,Agent_5,Southern Metro,11706,19.8,Council_7,6,1,0,1008.1,211.5,1976,831202
Suburb_16,5,u,S,Agent_7,Eastern Metro,14804,12.4,Council_5,6,1,2,738.1,49.4,1914,353720
Suburb_11,2,u,PI,Agent_8,South-Eastern Metro,7989,3.8,Council_4,2,,2,599.3,81.4,1937,573614
Suburb_1,5,u,PI,Agent_5,Northern Metro,2090,8,Council_5,6,2,1,900.6,135.2,,842345
Suburb_38,3,h,SP,Agent_25,Eastern Metro,7703,9.9,Council_5,4,1,2,,231.1,1921,450771
Suburb_38,1,h,S,Agent_5,Northern Metro,5121,7.6,Council_16,0,2,1,382.7,,1993,378975
Suburb_10,4,h,VB,Agent_18,Western Victoria,12615,7.6,Council_2,5,2,1,,,,756652
Suburb_2,5,h,SP,Agent_15,South-Eastern Metro,11768,8.7,Council_14,5,1,2,,151.7,,654145
Suburb_5,2,t,PI,Agent_16,Southern Metro,6659,29.4,Council_20,1,3,2,,227.8,1923,232883
Suburb_3,3,u,SP,Agent_6,Southern Metro,6129,5.5,Council_17,2,2,0,164.8,54.9,,691271
Suburb_34,2,t,VB,Agent_8,Northern Metro,2812,22.7,Council_9,1,1,1,,194.2,1927,345611
Suburb_36,1,u,S,Agent_16,Western Metro,1125,10.3,Council_2,2,1,1,,138.1,1907,352153
Suburb_7,5,t,SP,Agent_8,Eastern Victoria,5037,9.7,Council_18,6,3,3,928.9,,,920829
Suburb_30,1,h,PI,Agent_18,Northern Victoria,3994,6.9,Council_1,0,1,1,,,,
Suburb_8,3,h,PI,Agent_1,Western Victoria,4345,6,Council_15,3,1,3,,151.5,,532551
Suburb_15,1,h,VB,Agent_2,Eastern Metro,14977,1.9,Council_15,1,2,2,28.3,143.8,1977,498025
Suburb_24,4,h,S,Agent_19,Eastern Metro,10375,4.7,Council_5,4,2,0,,89.9,,550127
Suburb_29,5,h,PI,Agent_16,Western Metro,8495,2.3,Council_16,5,1,1,313.8,,2001,861910
Suburb_35,4,h,VB,Agent_2,Southern Metro,3093,2.2,Council_4,,2,3,,,1907,819912
Suburb_2,4,t,SP,Agent_23,Western Victoria,12696,3.4,Council_5,4,1,1,567.7,,1952,546908
Suburb_8,5,h,S,Agent_1,Southern Metro,9849,15.1,Council_18,5,2,2,426.9,,,607682
Suburb_12,5,t,SA,Agent_24,Western Metro,7964,15.1,Council_21,5,1,3,262.2,130.2,,
Suburb_13,5,u,VB,Agent_19,Northern Victoria,7256,4.8,Council_6,5,2,2,87.2,36.9,1951,
Suburb_40,2,h,VB,Agent_25,Northern Metro,8512,2.8,Council_20,3,3,0,839.8,,1964,595445
Suburb_32,3,u,VB,Agent_24,Western Metro,12675,5.8,Council_20,3,3,1,,,1999,752436
Suburb_13,5,h,VB,Agent_8,Western Metro,10941,11.4,Council_17,6,1,1,,,,877256
Suburb_39,2,h,VB,Agent_19,Eastern Metro,7532,13.4,Council_3,2,1,1,619,144.8,,464214
Suburb_20,4,h,PI,Agent_6,Southern Metro,10180,8.7,Council_7,5,1,3,,164.6,2010,639498
Suburb_21,1,t,S,Agent_12,Northern Metro,13982,9.6,Council_15,2,2,0,,100.3,,520492
Suburb_18,5,h,PI,Agent_7,Northern Metro,5230,9,Council_21,6,2,2,639.5,,1914,996992
Suburb_6,4,h,SP,Agent_13,Western Metro,13556,2.4,Council_18,4,3,3,389.1,,1972,828069
Suburb_38,4,u,VB,Agent_22,Northern Metro,9298,3,Council_9,4,3,3,332.3,,,830695
Suburb_1,5,u,PI,Agent_11,Western Victoria,3186,19,Council_5,5,3,2,169,305.4,1936,902016
Suburb_7,2,h,SA,Agent_3,Southern Metro,14520,8.6,Council_21,2,1,3,,,1970,488078
Suburb_10,3,h,PI,Agent_9,South-Eastern Metro,10449,1.5,Council_6,4,1,1,,,,
Suburb_12,5,h,PI,Agent_20,South-Eastern Metro,6096,9.9,Council_8,6,3,2,,,1917,761625
Suburb_6,1,u,SA,Agent_14,Western Metro,3612,4.1,Council_21,2,3,2,,136.8,,268253
Suburb_1,5,h,PI,Agent_15,Western Victoria,13778,14,Council_12,6,1,,552.9,288.7,1951,872169
Suburb_28,2,h,SP,Agent_11,Northern Metro,12437,13.1,Council_6,3,1,0,98.7,,1941,407949
Suburb_39,3,h,SP,Agent_8,Southern Metro,1145,11,Council_1,3,3,3,,98.4,2009,
Suburb_5,3,h,SA,Agent_15,Eastern Metro,9717,8.6,Council_10,2,2,0,,,1946,454402
Suburb_12,4,h,VB,Agent_16,Southern Metro,2161,15.9,Council_21,4,3,1,29.6,218.4,,721829
Suburb_21,5,h,S,Agent_23,Eastern Metro,4764,16.8,Council_10,6,2,2,403.3,,,785153
Suburb_38,2,h,PI,Agent_16,Eastern Metro,8736,4.2,Council_15,3,3,2,1212.5,120.9,,461594
Suburb_28,1,h,SP,Agent_25,Eastern Victoria,4112,11,Council_6,1,,2,0,37.5,,390245
Suburb_31,3,h,VB,Agent_21,Eastern Metro,7931,5.3,Council_17,4,1,3,126.9,82.3,,644013
Suburb_24,4,h,S,Agent_2,Western Victoria,6728,3.8,Council_17,3,1,3,565,,2017,720954
Suburb_17,4,u,VB,Agent_10,Eastern Victoria,8931,16.8,Council_13,,3,3,1030.8,191.3,1906,752872
Suburb_8,4,t,VB,Agent_10,Western Victoria,12110,12,Council_17,5,1,2,560.7,,,678682
Suburb_35,2,h,SP,Agent_1,Northern Metro,2750,9,Council_13,2,,3,710.6,,1932,575644
Suburb_33,5,t,S,Agent_5,Western Victoria,12044,4.5,Council_8,6,3,2,,,1900,935488
Suburb_2,1,h,VB,Agent_20,Northern Victoria,3724,17.1,Council_16,1,1,2,,147.8,,
Suburb_29,1,h,SP,Agent_9,Western Victoria,983,4.1,Council_18,1,1,3,524.7,,1990,377450
Suburb_4,1,u,SA,Agent_4,Eastern Metro,6973,3.5,Council_18,1,1,3,302.5,115.1,,467827
Suburb_30,5,u,VB,Agent_8,Western Victoria,4883,7.7,Council_5,6,2,0,717.3,132.9,1968,802472
Suburb_34,1,u,SA,Agent_7,Northern Victoria,3175,11.4,Council_15,0,2,3,,60.8,,255241
Suburb_6,4,h,PI,Agent_5,Northern Metro,6631,6.2,Council_1,3,3,2,,60.6,,703361
Suburb_18,5,u,SA,Agent_3,Western Metro,13098,48.4,Council_13,5,3,3,511.8,,,326964
Suburb_5,4,h,S,Agent_20,Southern Metro,8990,8.5,Council_12,3,2,2,435.6,,2011,803722
Suburb_23,5,h,SP,Agent_21,Western Victoria,11053,5.3,Council_8,5,3,3,,56.3,1972,809604
Suburb_38,1,h,S,Agent_13,Eastern Metro,2668,5.7,Council_21,1,1,1,,,1993,
Suburb_4,3,t,VB,Agent_16,Southern Metro,1599,20.3,Council_19,2,2,0,859.6,,1962,
Suburb_16,3,h,PI,Agent_23,Northern Victoria,5361,7.2,Council_1,3,1,0,437.4,254.2,,
Suburb_39,4,u,SP,Agent_22,Western Metro,11729,16.5,Council_5,4,1,1,583.5,,1962,578541
